t # 0
v 0 0
v 1 3
v 2 9
v 3 18
v 4 3
v 5 10
v 6 5
v 7 10
v 8 0
v 9 14
v 10 7
v 11 10
v 12 10
e 0 2 11
e 0 6 11
e 0 5 0
e 1 6 7
e 2 3 10
e 2 5 14
e 2 7 10
e 3 4 19
e 4 7 19
e 5 8 19
e 6 7 10
t # 59
v 0 5
v 1 7
v 2 13
v 3 11
v 4 16
v 5 7
v 6 13
v 7 10
v 8 16
v 9 11
e 0 1 0
e 0 5 0
e 0 7 14
e 1 2 6
e 1 7 5
e 2 3 9
e 2 4 18
e 2 5 12
e 2 6 6
e 3 6 9
e 3 9 11
e 4 7 15
e 5 6 6
e 5 7 5
e 6 8 3
e 7 9 8
t # 60
v 0 15
v 1 17
v 2 12
v 3 8
v 4 12
v 5 8
v 6 17
v 7 13
v 8 12
v 9 2
v 10 10
v 11 0
v 12 12
v 13 4
v 14 17
e 0 1 7
e 0 3 14
e 0 6 7
e 1 2 18
e 1 4 18
e 1 8 18
e 1 14 11
e 1 7 4
e 1 9 11
e 2 3 8
e 2 6 18
e 2 13 8
e 2 5 8
e 3 12 8
e 3 13 15
e 4 5 8
e 4 8 18
e 4 6 18
e 4 12 18
e 5 7 0
e 5 10 12
e 5 12 8
e 5 9 19
e 6 9 11
e 6 11 10
e 9 12 16
e 10 13 14
e 10 12 17
e 11 14 10
e 11 13 6
e 12 14 18
t # 61
v 0 15
v 1 16
v 2 12
v 3 14
v 4 19
v 5 1
v 6 14
v 7 16
v 8 4
v 9 8
v 10 14
v 11 4
e 0 1 12
e 0 7 5
e 0 9 14
e 1 2 19
e 1 3 11
e 1 6 11
e 2 11 8
e 3 4 2
e 3 5 18
e 3 6 18
e 3 8 16
e 4 8 16
e 4 11 16
e 5 10 4
e 6 7 11
e 6 11 16
e 6 8 16
e 7 10 11
e 7 11 15
e 8 9 15
e 8 10 16
t # 62
v 0 3
v 1 13
v 2 0
v 3 9
v 4 9
v 5 0
v 6 0
v 7 10
v 8 9
v 9 13
v 10 1
v 11 3
e 0 1 5
e 0 2 10
e 0 9 5
e 0 4 11
e 0 11 14
e 1 11 5
e 2 3 4
e 2 4 4
e 2 8 4
e 2 10 0
e 2 5 17
e 2 6 17
e 3 5 4
e 3 6 17
e 3 7 15
e 3 4 17
e 3 11 11
e 4 11 11
e 5 8 17
e 5 6 17
e 5 11 1
e 6 11 10
e 8 10 19
t # 63
v 0 7
v 1 13
v 2 16
v 3 15
v 4 13
v 5 17
v 6 16
v 7 13
v 8 3
v 9 4
v 10 18
v 11 0
v 12 4
e 0 1 6
e 0 4 6
e 1 2 3
e 1 3 11
e 1 6 3
e 1 12 14
e 2 4 18
e 2 7 3
e 2 11 6
e 2 9 15
e 3 5 7
e 3 6 5
e 4 8 5
e 4 5 4
e 4 7 6
e 4 6 3
e 4 10 1
e 5 7 4
e 6 9 15
e 6 12 15
e 6 11 6
e 7 10 1
e 7 8 5
e 7 9 14
e 8 11 1
e 9 12 15
e 11 12 6
t # 64
v 0 1
v 1 14
v 2 5
v 3 2
v 4 12
v 5 11
v 6 19
v 7 7
v 8 1
v 9 8
v 10 11
v 11 4
v 12 9
v 13 2
e 0 1 18
e 0 2 8
e 0 4 18
e 0 5 11
e 0 12 19
e 0 10 11
e 0 8 18
e 0 7 9
e 1 3 19
e 1 8 18
e 1 6 2
e 1 7 15
e 1 13 19
e 2 9 7
e 2 8 16
e 3 6 16
e 3 10 15
e 3 7 3
e 3 4 16
e 3 13 14
e 4 9 8
e 4 11 8
e 4 8 18
e 4 13 16
e 5 8 11
e 5 13 15
e 6 7 14
e 6 13 16
e 7 9 16
e 7 8 9
e 7 13 3
t # 65
v 0 1
v 1 14
v 2 12
v 3 1
v 4 9
v 5 16
v 6 8
v 7 10
v 8 14
v 9 4
v 10 10
v 11 4
v 12 0
e 0 1 18
e 0 2 18
e 0 8 18
e 0 12 0
e 1 3 5
e 1 5 11
e 1 12 2
e 1 8 18
e 2 6 8
e 2 11 8
e 2 10 17
e 2 5 19
e 2 7 17
e 3 4 19
e 3 8 18
e 3 12 12
e 4 12 17
e 4 10 12
e 5 7 15
e 5 10 17
e 5 9 15
e 5 8 11
e 5 12 6
e 6 9 15
e 7 11 14
e 9 12 6
e 10 11 14
t # 66
v 0 9
v 1 10
v 2 10
v 3 9
v 4 11
v 5 1
v 6 8
v 7 13
v 8 13
v 9 11
v 10 7
v 11 1
v 12 5
v 13 13
e 0 1 12
e 0 2 15
e 0 5 19
e 0 10 8
e 1 3 15
e 1 4 8
e 2 9 8
e 2 12 14
e 2 4 19
e 2 10 5
e 3 5 19
e 3 6 19
e 3 11 19
e 4 7 9
e 4 8 9
e 4 11 12
e 4 9 11
e 5 10 9
e 5 11 18
e 6 13 0
e 6 7 0
e 6 10 16
e 7 10 6
e 7 13 6
e 7 8 6
e 8 10 6
e 8 9 9
e 10 12 0
e 10 13 6
e 11 12 9
t # 67
v 0 15
v 1 17
v 2 6
v 3 2
v 4 13
v 5 3
v 6 10
v 7 11
v 8 4
v 9 13
v 10 17
e 0 1 7
e 0 2 1
e 0 10 7
e 0 9 11
e 0 4 11
e 1 3 11
e 1 4 4
e 1 9 4
e 1 10 11
e 2 6 19
e 2 7 4
e 3 10 11
e 4 5 5
e 4 7 9
e 4 8 14
e 4 9 6
e 4 10 4
e 6 7 19
e 7 9 9
e 8 9 14
t # 68
v 0 3
v 1 12
v 2 8
v 3 2
v 4 6
v 5 0
v 6 5
v 7 8
v 8 1
v 9 0
v 10 19
v 11 8
e 0 1 4
e 0 5 10
e 0 6 14
e 0 7 15
e 0 10 12
e 0 9 1
e 0 11 9
e 1 2 8
e 1 11 8
e 1 3 16
e 2 3 17
e 2 11 12
e 3 4 14
e 3 10 16
e 3 7 19
e 3 11 19
e 4 6 9
e 4 9 4
e 4 8 13
e 5 8 0
e 5 9 17
e 6 8 16
e 6 11 7
e 8 9 0
t # 69
v 0 3
v 1 19
v 2 8
v 3 7
v 4 7
v 5 14
v 6 13
v 7 8
v 8 17
v 9 15
v 10 7
v 11 2
v 12 1
e 0 1 12
e 0 2 9
e 0 6 5
e 1 3 14
e 1 4 14
e 1 11 16
e 1 10 14
e 2 10 16
e 2 9 14
e 2 7 12
e 2 11 19
e 3 5 15
e 3 11 3
e 4 6 12
e 4 7 16
e 4 5 15
e 4 12 9
e 5 11 19
e 5 10 15
e 5 12 18
e 6 8 4
e 7 9 14
e 7 10 16
e 8 9 7
e 10 12 9
e 10 11 3
t # 70
v 0 7
v 1 13
v 2 17
v 3 0
v 4 18
v 5 2
v 6 14
v 7 0
v 8 10
v 9 0
v 10 12
e 0 1 12
e 0 6 15
e 0 8 5
e 1 2 4
e 1 4 1
e 2 3 10
e 2 5 11
e 2 7 10
e 2 10 18
e 2 9 10
e 3 7 17
e 3 6 2
e 4 8 12
e 5 6 19
e 6 9 2
e 6 7 2
e 7 9 17
e 8 10 17
t # 71
v 0 0
v 1 1
v 2 16
v 3 15
v 4 10
v 5 9
v 6 14
v 7 6
v 8 10
v 9 16
v 10 5
v 11 13
v 12 11
e 0 1 12
e 0 5 17
e 0 7 4
e 0 6 2
e 0 2 6
e 1 2 8
e 1 7 13
e 1 5 19
e 2 3 5
e 2 6 11
e 2 11 3
e 2 8 15
e 3 4 10
e 3 11 1
e 3 9 5
e 3 7 1
e 4 5 12
e 4 7 19
e 4 12 19
e 5 8 15
e 6 7 13
e 7 10 6
e 7 12 6
e 7 8 19
e 8 9 17
e 8 10 14
e 11 12 9
t # 72
v 0 10
v 1 12
v 2 7
v 3 13
v 4 18
v 5 9
v 6 13
v 7 15
v 8 1
v 9 9
v 10 9
v 11 13
v 12 11
e 0 1 17
e 0 2 5
e 0 4 12
e 0 7 10
e 0 12 19
e 0 5 12
e 0 9 12
e 2 3 6
e 2 9 8
e 2 11 12
e 2 5 8
e 2 8 9
e 4 5 7
e 4 6 1
e 4 10 7
e 4 9 7
e 5 8 19
e 5 9 17
e 5 10 17
e 6 7 11
e 6 12 9
e 7 11 11
e 8 9 19
e 8 10 19
e 11 12 9
t # 73
v 0 4
v 1 19
v 2 7
v 3 19
v 4 19
v 5 2
v 6 2
v 7 4
v 8 12
v 9 8
e 0 1 16
e 0 8 8
e 0 3 16
e 1 2 14
e 1 6 16
e 2 3 14
e 2 4 14
e 2 9 16
e 3 5 16
e 3 6 11
e 4 7 16
e 5 9 19
e 6 8 16
e 8 9 8
t # 74
v 0 6
v 1 14
v 2 5
v 3 16
v 4 7
v 5 1
v 6 15
v 7 3
v 8 5
v 9 5
v 10 0
v 11 13
v 12 14
v 13 0
e 0 1 13
e 0 2 6
e 0 10 4
e 0 8 9
e 0 12 13
e 0 6 1
e 0 9 9
e 0 5 13
e 1 3 11
e 1 12 18
e 1 4 15
e 1 10 2
e 2 4 0
e 2 7 14
e 2 9 7
e 2 5 16
e 3 6 12
e 3 11 3
e 3 5 8
e 3 12 11
e 4 5 9
e 4 8 0
e 4 12 15
e 4 11 6
e 4 9 0
e 5 9 16
e 5 13 0
e 5 10 12
e 6 11 1
e 7 13 1
t # 75
v 0 1
v 1 5
v 2 7
v 3 7
v 4 2
v 5 5
v 6 1
v 7 5
v 8 9
v 9 14
v 10 6
e 0 1 1
e 0 2 9
e 0 3 9
e 0 5 8
e 0 9 18
e 1 6 9
e 1 10 9
e 2 4 3
e 2 7 0
e 2 6 9
e 3 4 3
e 3 5 0
e 4 9 19
e 4 10 14
e 5 10 6
e 5 7 7
e 6 7 16
e 6 8 14
e 6 10 13
e 7 10 9
e 9 10 13
t # 76
v 0 10
v 1 18
v 2 16
v 3 13
v 4 5
v 5 7
v 6 10
v 7 15
v 8 13
v 9 16
v 10 13
v 11 5
e 0 1 19
e 0 2 17
e 0 4 14
e 0 7 10
e 0 9 15
e 0 6 12
e 0 11 14
e 0 5 5
e 1 10 1
e 1 6 12
e 2 3 3
e 3 7 11
e 3 10 6
e 4 5 0
e 4 6 14
e 5 8 6
e 5 11 0
e 5 6 5
e 6 9 15
e 6 11 14
e 7 8 11
e 7 10 11
e 8 9 3
e 9 10 18
t # 77
v 0 0
v 1 6
v 2 16
v 3 12
v 4 5
v 5 14
v 6 8
v 7 1
v 8 5
v 9 5
v 10 7
v 11 9
v 12 13
e 0 1 4
e 0 2 6
e 0 7 0
e 0 5 2
e 0 11 17
e 1 4 6
e 1 8 9
e 1 9 9
e 2 3 19
e 2 5 11
e 2 12 3
e 2 7 8
e 3 6 8
e 4 10 0
e 4 8 7
e 6 8 7
e 6 11 19
e 6 12 0
e 7 9 16
e 7 8 16
e 7 11 19
e 8 10 0
e 8 9 7
e 9 10 0
e 10 11 8
e 10 12 6
t # 78
v 0 3
v 1 8
v 2 8
v 3 9
v 4 10
v 5 0
v 6 3
v 7 0
v 8 8
v 9 9
v 10 15
v 11 7
v 12 17
e 0 1 15
e 0 2 15
e 0 3 11
e 0 5 1
e 0 8 15
e 0 9 11
e 1 6 15
e 1 2 12
e 1 10 14
e 1 3 19
e 1 9 19
e 2 4 12
e 2 9 19
e 2 3 19
e 3 7 17
e 3 11 8
e 3 4 12
e 3 5 17
e 4 10 10
e 5 12 10
e 5 9 17
e 7 12 10
e 8 9 19
e 8 11 16
e 9 11 8
t # 79
v 0 0
v 1 17
v 2 15
v 3 13
v 4 0
v 5 18
v 6 7
v 7 13
v 8 3
v 9 1
v 10 16
v 11 2
v 12 18
e 0 1 10
e 0 10 6
e 1 2 7
e 1 4 10
e 1 7 4
e 1 11 11
e 2 3 11
e 2 10 12
e 2 7 11
e 3 5 1
e 3 6 6
e 3 8 5
e 3 12 1
e 3 7 6
e 3 10 3
e 4 9 0
e 4 8 1
e 5 12 12
e 5 7 1
e 6 11 3
e 6 9 9
e 7 12 1
e 7 8 5
e 9 10 8
t # 80
v 0 8
v 1 12
v 2 2
v 3 5
v 4 6
v 5 5
v 6 1
v 7 5
v 8 6
v 9 5
v 10 6
e 0 1 8
e 0 3 7
e 0 7 7
e 0 5 7
e 0 9 7
e 1 2 16
e 2 8 14
e 3 4 9
e 3 6 8
e 3 10 9
e 3 9 7
e 3 5 7
e 4 5 9
e 4 9 6
e 4 10 14
e 5 10 9
e 5 8 9
e 5 9 7
e 6 9 16
e 7 9 7
t # 81
v 0 1
v 1 14
v 2 19
v 3 16
v 4 12
v 5 2
v 6 7
v 7 8
v 8 12
v 9 7
e 0 1 5
e 0 3 8
e 0 4 18
e 0 6 9
e 1 2 2
e 1 9 15
e 1 6 15
e 2 5 16
e 2 6 14
e 3 8 19
e 3 4 19
e 4 7 8
e 4 8 18
e 5 6 3
e 6 9 6
e 7 9 16
t # 82
v 0 8
v 1 15
v 2 4
v 3 3
v 4 16
v 5 16
v 6 12
v 7 17
v 8 8
v 9 19
e 0 1 14
e 0 2 15
e 0 3 15
e 0 6 8
e 1 8 14
e 1 4 5
e 2 4 15
e 2 5 15
e 2 8 15
e 3 6 4
e 3 8 9
e 3 9 12
e 4 5 15
e 6 7 18
e 6 8 8
t # 83
v 0 2
v 1 8
v 2 14
v 3 19
v 4 1
v 5 11
v 6 4
v 7 3
v 8 16
v 9 5
e 0 1 17
e 0 2 19
e 0 5 15
e 0 3 16
e 1 6 15
e 1 7 9
e 2 3 2
e 2 4 18
e 2 6 16
e 2 8 11
e 3 6 16
e 3 7 12
e 4 5 12
e 4 8 8
e 6 8 15
e 7 9 14
e 7 8 9
t # 84
v 0 2
v 1 19
v 2 12
v 3 10
v 4 11
v 5 1
v 6 3
v 7 5
v 8 8
e 0 1 16
e 0 2 16
e 0 4 15
e 0 8 19
e 1 6 12
e 2 3 17
e 2 6 4
e 2 5 18
e 3 8 12
e 3 7 14
e 3 4 19
e 4 5 12
e 5 7 8
e 7 8 7
t # 85
v 0 4
v 1 19
v 2 2
v 3 12
v 4 14
v 5 2
v 6 4
v 7 19
v 8 14
v 9 10
v 10 7
e 0 1 16
e 0 9 14
e 0 7 16
e 1 2 16
e 1 4 2
e 1 5 11
e 2 3 16
e 2 7 16
e 2 8 19
e 3 6 8
e 3 9 17
e 4 6 16
e 4 10 15
e 4 7 2
e 5 10 3
e 6 7 16
e 7 8 2
e 8 10 15
t # 86
v 0 7
v 1 8
v 2 1
v 3 14
v 4 6
v 5 2
v 6 11
v 7 14
v 8 1
e 0 1 16
e 0 2 9
e 0 5 3
e 0 7 15
e 0 8 9
e 2 3 4
e 2 4 13
e 2 6 11
e 2 7 18
e 3 4 13
e 5 6 15
e 7 8 18
t # 87
v 0 4
v 1 12
v 2 8
v 3 1
v 4 4
v 5 8
v 6 12
v 7 9
v 8 8
v 9 3
v 10 8
v 11 13
v 12 14
e 0 1 8
e 0 6 8
e 0 4 15
e 0 8 15
e 0 10 15
e 1 2 8
e 1 3 18
e 1 5 8
e 1 9 13
e 2 4 15
e 2 9 9
e 2 5 12
e 2 7 19
e 2 10 12
e 3 7 19
e 4 12 16
e 4 6 8
e 5 7 19
e 5 11 0
e 5 9 9
e 7 8 19
e 7 10 19
e 9 10 15
e 9 11 5
e 10 11 0
t # 88
v 0 15
v 1 17
v 2 16
v 3 12
v 4 10
v 5 15
v 6 2
v 7 13
v 8 3
v 9 8
v 10 16
v 11 13
e 0 1 7
e 0 2 5
e 0 4 10
e 0 10 5
e 0 11 11
e 1 3 18
e 1 7 4
e 1 6 11
e 2 7 3
e 3 6 16
e 3 8 13
e 4 5 10
e 4 9 12
e 5 9 14
e 5 7 11
e 7 10 3
e 7 9 0
e 7 11 6
e 9 11 0
t # 89
v 0 0
v 1 1
v 2 5
v 3 14
v 4 10
v 5 1
v 6 16
v 7 16
v 8 5
v 9 6
v 10 1
e 0 1 12
e 1 2 9
e 1 3 5
e 1 8 16
e 1 7 8
e 2 4 14
e 2 5 16
e 2 9 6
e 2 10 16
e 2 8 7
e 3 10 18
e 5 6 8
e 5 7 8
e 5 8 1
e 6 10 8
e 8 10 8
e 8 9 9
e 9 10 13
t # 90
v 0 10
v 1 18
v 2 12
v 3 4
v 4 18
v 5 10
v 6 11
v 7 10
v 8 10
v 9 19
e 0 1 19
e 0 2 17
e 0 3 14
e 0 4 12
e 0 6 8
e 0 5 12
e 0 7 12
e 1 5 12
e 1 7 12
e 1 4 12
e 2 7 17
e 2 3 8
e 3 7 14
e 3 8 14
e 3 9 16
e 4 5 19
e 5 7 12
t # 91
v 0 7
v 1 13
v 2 13
v 3 8
v 4 15
v 5 8
v 6 9
v 7 11
v 8 7
v 9 11
v 10 10
e 0 1 6
e 0 2 12
e 0 3 16
e 0 8 6
e 0 10 5
e 1 7 9
e 1 4 11
e 2 8 6
e 2 9 9
e 2 5 0
e 2 3 0
e 3 4 14
e 3 6 19
e 3 5 12
e 4 5 14
e 5 8 16
e 5 6 19
e 7 10 19
e 8 10 5
e 9 10 19
t # 92
v 0 10
v 1 11
v 2 13
v 3 9
v 4 0
v 5 1
v 6 9
v 7 0
v 8 6
v 9 0
e 0 1 19
e 0 3 12
e 0 8 19
e 0 6 12
e 1 2 9
e 1 5 11
e 3 4 17
e 3 9 17
e 3 6 17
e 4 6 17
e 4 8 4
e 5 7 0
e 5 8 13
e 6 9 17
e 6 7 17
e 7 8 4
t # 93
v 0 2
v 1 19
v 2 8
v 3 11
v 4 6
v 5 0
v 6 15
v 7 6
v 8 2
v 9 13
v 10 11
e 0 1 11
e 0 2 19
e 0 3 15
e 0 10 15
e 1 8 16
e 3 4 6
e 3 7 4
e 4 5 4
e 4 6 1
e 4 8 14
e 4 7 14
e 5 7 4
e 6 9 11
e 6 7 1
e 7 10 6
e 7 8 14
e 8 10 15
t # 94
v 0 10
v 1 18
v 2 13
v 3 16
v 4 4
v 5 13
v 6 9
v 7 10
v 8 16
e 0 1 12
e 0 3 15
e 0 6 12
e 1 2 1
e 1 5 1
e 1 7 12
e 2 4 14
e 2 8 3
e 3 7 15
e 4 8 15
e 7 8 15
t # 95
v 0 3
v 1 9
v 2 0
v 3 0
v 4 12
v 5 14
v 6 0
v 7 14
v 8 14
v 9 1
v 10 1
v 11 2
v 12 0
v 13 3
e 0 1 11
e 0 4 4
e 0 13 14
e 0 6 1
e 0 3 1
e 1 2 17
e 1 3 4
e 1 6 17
e 1 9 19
e 2 13 10
e 2 12 17
e 2 9 12
e 3 5 2
e 3 7 2
e 3 8 2
e 4 11 16
e 5 10 18
e 5 8 18
e 5 12 2
e 6 13 1
e 6 7 2
e 7 9 5
e 7 12 2
e 7 11 19
e 7 10 18
e 8 11 19
e 8 10 18
e 9 10 18
e 10 12 12
t # 96
v 0 4
v 1 16
v 2 4
v 3 16
v 4 14
v 5 19
v 6 10
v 7 12
v 8 3
v 9 1
v 10 3
v 11 1
e 0 1 19
e 0 3 19
e 0 5 16
e 0 2 15
e 1 2 15
e 2 4 16
e 2 6 14
e 2 7 8
e 2 3 15
e 3 9 0
e 3 4 11
e 3 7 19
e 4 5 2
e 4 9 18
e 5 8 12
e 5 10 12
e 6 7 17
e 7 10 13
e 7 11 18
e 7 9 18
e 8 10 14
t # 97
v 0 4
v 1 10
v 2 11
v 3 14
v 4 13
v 5 1
v 6 4
v 7 6
v 8 11
v 9 16
v 10 16
v 11 14
v 12 16
e 0 1 14
e 0 3 16
e 0 4 14
e 0 10 15
e 0 12 15
e 1 2 19
e 1 6 14
e 1 9 17
e 1 10 15
e 1 8 19
e 2 7 4
e 2 4 9
e 3 5 4
e 3 10 11
e 3 11 18
e 3 9 11
e 4 8 9
e 4 10 3
e 5 11 4
e 5 12 0
e 5 9 8
e 5 10 8
e 6 11 16
e 6 12 15
e 7 8 4
e 7 11 13
t # 98
v 0 15
v 1 16
v 2 0
v 3 1
v 4 1
v 5 6
v 6 16
v 7 6
v 8 0
v 9 5
v 10 0
v 11 10
v 12 4
e 0 1 12
e 0 7 1
e 0 11 10
e 0 5 1
e 1 2 6
e 1 8 6
e 1 3 8
e 2 3 12
e 2 4 12
e 2 5 4
e 3 5 13
e 3 6 8
e 3 10 12
e 4 10 0
e 4 7 13
e 4 9 16
e 5 9 9
e 6 12 15
e 6 10 6
e 7 9 9
e 7 11 19
e 9 11 14
t # 99
v 0 6
v 1 11
v 2 0
v 3 1
v 4 10
v 5 5
v 6 4
v 7 10
e 0 1 4
e 0 2 4
e 0 4 19
e 0 5 6
e 0 7 19
e 1 3 11
e 1 7 8
e 4 6 14
e 4 7 12
e 5 7 14
